Parameter,Category,Subcategory,Definition,Related keywords
Wages,Worker rights,Working conditions,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.","wages, pay, compensation, living wage, minimum wage, salary, income, payroll, currency, payment, fair pay, piece-rate, unpaid, non-payment"
Hazard pay,Worker rights,Working conditions,The policy includes references to extra pay/bonus for dangerous or high-risk work.,"hazard pay, danger pay, risk allowance, premium pay"
Right to set working hours/schedule,Worker rights,Working conditions,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.","work hours, flexible schedule, shift choice, overtime, working time, rest period, work days"
Security of tenure,Worker rights,Working conditions,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,"job security, tenure, permanent employment, stability, termination protections, duration"
"Evaluation metrics, productivity standards and quotas",Worker rights,Working conditions,"The policy recommends acceptable methods for measurement of worker performance, productivity benchmarks, or quotas.","targets, quotas, metrics, performance evaluation, benchmarks, KPIs"
Monitoring and surveillance,Worker rights,Working conditions,"The policy includes references to employer use of technology or systems to observe, track, or monitor workers.","surveillance, monitoring, tracking, CCTV, productivity monitoring, data collection, surveillance software, keystroke monitoring, recording software"
Dismissal/deactivation/suspension,Worker rights,Working conditions,"The policy outlines processes, procedures, or rules for worker removal, deactivation from a platform, or suspension or termination processes.","dismissal, firing, termination, deactivation, suspension, account blocked, penalties, punishment, retaliation, discipline, disciplinary, work rejection, punitive"
Paths for career advancement,Worker rights,Working conditions,"The policy mentions opportunities for training, promotions, or upskilling.","career path, promotion, upskilling, training opportunities, advancement, professional development"
"Channels for workers to appeal decisions, raise complaints, seek clarification",Worker rights,Working conditions,"The policy includes references to grievance procedures or mechanisms for resolving disputes, such as the ability to appeal a work decision, raise complaints or seek clarification.","grievance, appeal, complaint mechanism, dispute resolution, ombudsman, worker hotline, recourse, complaint channel, reporting channel, whistleblowing, whistleblower, anonymous complaint"
"Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Worker rights,Working conditions,"The policy mentions workers' ability to organize, join unions, or participate in collective decision-making.","union, collective bargaining, freedom of association, worker representation, organize, worker council, right to organize, collective action, unionize, access to representation, democratically elected"
Health and safety risks,Worker rights,Working conditions,"The policy includes reference to protections against health and safety risks, mental or physical","occupational safety, health risks, safety standards, sensitive content, egregious content, offensive content, traumatic content, limit exposure/exposure limits, health and safety committee"
Right to refuse work,Worker rights,Working conditions,"The policy references workers’ right to refuse unsafe, unreasonable, objectionable, or exploitative tasks.","refuse work, unsafe work, right to decline, unreasonable request"
Mental and physical health insurance,Worker rights,Benefits,"The policy mentions health coverage for workers, mental or physical.","health insurance, medical coverage, mental health, well-being, therapy, counseling, therapist, trauma-informed, Employee Assistance Programmes"
Paid time off,Worker rights,Benefits,"The policy mentions vacation, annual leave, or other forms of paid leave.","paid leave, vacation, annual leave, holiday pay, paid time off/PTO, breaks, bereavement"
Sick leave,Worker rights,Benefits,The policy references paid time off for illness,"sick leave, medical leave, illness, paid sick days, bereavement"
Pension benefits,Worker rights,Benefits,The policy mentions retirement savings or pensions programs for workers,"pension, retirement fund, 401(k), social security"
Gender,Worker rights,Anti-discrimination policies,The policy mentions protections or equity measures based on gender.,"gender equality, women, men, non-binary, gender identity, equal pay, gender discrimination/sex discrimination"
Race and ethnicity,Worker rights,Anti-discrimination policies,The policy mentions protections or equity measures based on race or ethnicity.,"race, ethnicity, racial discrimination, diversity, minority groups, caste, national origin, immigration status"
Sexual orientation,Worker rights,Anti-discrimination policies,The policy mentions protections or equity measures based on sexual orientation.,"sexual orientation, LGBTQ, gay, lesbian, bisexual, queer, trans, nonbinary"
Disability,Worker rights,Anti-discrimination policies,The policy mentions protections or equity measures based on disability.,"disability, accommodation, accessible, disabled workers, reasonable adjustments"
Contracts – general,Employer and platform/contractor responsibilities,Contracts,The policy outlines requirements for fair contracts and contract terms between workers and employers.,"contract, contractual, terms of service, terms and conditions, written agreement"
Transparent and easy to understand,Employer and platform/contractor responsibilities,Contracts,The policy includes recommendations or requirements for contract clarity and readability.,"plain language, clear contract, transparent terms, language access"
Non-compete clauses,Employer and platform/contractor responsibilities,Contracts,The policy mentions standards regarding restricting workers from working elsewhere/for other companies.,"non-compete, exclusive employment, restrictive covenant"
Non-disclosure agreements (NDAs),Employer and platform/contractor responsibilities,Contracts,The policy includes recommendations related to confidentiality clauses in contracts or any repercussions for violating confidentiality.,"NDA, non-disclosure, confidentiality, silence"
Notice period,Employer and platform/contractor responsibilities,Contracts,The policy references a recommended notice before termination or resignation.,"notice period, advance notice, termination notice, warning"
Severance pay,Employer and platform/contractor responsibilities,Contracts,The policy includes definitions and recommendations for worker compensation in the case of a lay off.,"severance, redundancy pay, exit compensation"
Unpaid waiting periods,Employer and platform/contractor responsibilities,Contracts,"This policy relates to unpaid time when workers are waiting for tasks, access to work, new projects or potentially for disciplinary or investigative processes.","Waiting periods, benched, task availability, job availability"
Work related expenses,Employer and platform/contractor responsibilities,Contracts,"The policy includes mention of required or acceptable compensation for work related expenses, such as internet access, computer, home office equipment, or travel allowance.","expenses, reimburse, internet stipend, equipment, travel allowance"
Collective bargaining agreement,Employer and platform/contractor responsibilities,Contracts,The policy mentions engaging with democratically elected worker representatives and allowing them free access to workers and workplaces.,"CBA, collective agreement, union contract, worker representatives"
Training and guidelines for workers and managers,Employer and platform/contractor responsibilities,Contracts,The policy provisions or recommends the existence of or specific guidelines for employee training or onboarding,"training, guidelines, manuals, onboarding, capacity building, instructions"
Information on purpose of work,Employer and platform/contractor responsibilities,Contracts,"The policy references the need to inform workers about what their work will be used for, contribute to, or impact.","purpose, project goals, clarity, task context, task transparency"
Identifying risks and harms to workers,Employer and platform/contractor responsibilities,Contracts,"The policy recommends that employers disclose potential or anticipated risks or harms, material or immaterial, that employees may encounter or expose themselves to on the job.","risk assessment, impact assessment, harms, worker risk"
Human oversight in management,Employer and platform/contractor responsibilities,Contracts,"The policy mentions, or defines the degree to which human involvement is to be used in decision-making about workers.","human oversight, manager review, not automated, AI accountability, human involvement, human-run"
Credentials for skills and experience,Employer and platform/contractor responsibilities,Contracts,"Workers receive some form of credentials or documentation of their work, skills, expertise and/or achievements.","Credentials, micro-credentials, certifications"
Mental health support,Employer and platform/contractor responsibilities,Contracts,"The policy includes mention of employer responsibilities related to counseling, mental health resources, or stress reduction for workers.",
Responsibility for upholding/implementing,Employer and platform/contractor responsibilities,Enforceability mechanisms,The policy identifies parties responsible for enforcing worker protections.,"employer responsibility, employer obligation"
Accountability in case of harms,Employer and platform/contractor responsibilities,Enforceability mechanisms,The policy includes consequences or accountability measures for companies if standards are violated.,"accountability, liability, remedies, sanctions"
Third party audits,Employer and platform/contractor responsibilities,Enforceability mechanisms,The policy prescribes requirements for external review of companies by a third-party of their compliance against worker protections.,"audit, third party review, independent verification, third party inspections, neutral party, auditor"
Legal enforceability,Employer and platform/contractor responsibilities,Enforceability mechanisms,"The policy outlines some measure of legal enforceability, referencing existing applicable legal frameworks.","legally binding, statute, law, legal enforcement, arbitration, binding decision"
Enforcing authority,Employer and platform/contractor responsibilities,Enforceability mechanisms,The policy identifies the party/institution/agency tasked with enforcement of the policy.,"enforcement agency, regulator, authority, government body, governance"
Timeline for implementation,Employer and platform/contractor responsibilities,Enforceability mechanisms,"The policy mentions deadlines, timelines, or phased rollouts","timeline, deadline, implementation period, rollout"
