policy_title,corpus_size,query_id,parameter,category,query,sentence_rank,sentence_score,sentence,sentence_index,review_1,review_2,primary_paramater,alt_parameter_1,alt_parameter_2,alt_parameter_3,alt_parameter_4,alt_parameter_5,alt_parameter_6,notes,review_agreement
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",1,0.5752,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352,No - not relevant at all,No - not relevant at all,,,,,,,,Mentions 'wage disparities' but does not prescribe policy to address these.,TRUE
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",2,0.5539,"They mandate the number of people the agency must hire and the total contract amount, but most don’t set a wage rate within the contract—either for the contract workers or the contracting agency workers whose earnings also come out of the same funding.",101,Yes,Yes,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",,,,,,,,TRUE
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",3,0.5157,"* Require that all vendors and staffing agencies provide detailed assignments to all workers that include pay rate, benefit options and employee contribution, paid time off, HR protocols, complaint procedures, location of assignment, hourly schedule, and agency fees or “markups” for service.",325,Yes,Yes,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",,,,,,,,TRUE
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",4,0.4910,Preliminary data and contract workers’ descriptions of their job functions support assertions that they perform similar work as direct employees—for a fraction of the pay.,140,Yes,Yes,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",,,,,,,,TRUE
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",5,0.4890,"* Provide transparency about the terms and conditions of assignments with written notice from the staffing agency that includes: the length of the assignment, safety requirements, certifications, or personal protective equipment needed for a work assignment, the specific criteria for transitioning to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly charge to the tech (or parent/client) company for their labor.",296,Yes,Yes,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",,,,,,,,TRUE
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,1,0.5559,"* End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and adopt the incentives provided to direct workers, including hiring bonuses for those who successfully recruit contract workers.",334,Yes,Yes,The policy includes references to extra pay/bonus for dangerous or high-risk work.,,,,,,,"Mentions bonuses, but not for high risk work. Maybe change the parameter to just bonuses for any reason? (SC) ",TRUE
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,2,0.4874,"Existing policies demonstrate that tech companies understand the rationale behind internal referral systems, offering several-thousand dollar bonuses for successful referral hires57.",335,Yes,Yes,The policy includes references to extra pay/bonus for dangerous or high-risk work.,,,,,,,"Mentions bonuses, but not for high risk work. Maybe change the parameter to just bonuses for any reason? (SC) ",TRUE
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,3,0.4818,"Although this practice is set up to protect tech companies from liability, it often leads to disempowerment for the worker.",12,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,4,0.4785,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286,No - not relevant at all,No - not relevant at all,,,,,,,,,TRUE
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,5,0.4747,"* Provide transparency about the terms and conditions of assignments with written notice from the staffing agency that includes: the length of the assignment, safety requirements, certifications, or personal protective equipment needed for a work assignment, the specific criteria for transitioning to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly charge to the tech (or parent/client) company for their labor.",296,Meets a different parameter(s),Meets a different parameter(s),,"The policy recommends that employers disclose potential or anticipated risks or harms, material or immaterial, that employees may encounter or expose themselves to on the job.",,,,,,,TRUE
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",1,0.5655,"To keep it that way, companies create arm’s-length policies for those workers; they also change their personnel practices altogether.",107,No - not relevant at all,No - not relevant at all,,,,,,,,This is about how companies treat contract workers; no mention of schedules/flexibility. Should we have a parameter that is about contract workers?,TRUE
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",2,0.5442,"________________
However, this flexibility more often benefits the employer than the worker.",233,Yes,Yes,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",,,,,,,,TRUE
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",3,0.5435,"Employers tout the flexibility that this affords the workers, as they are
not beholden to the company for more than a few months at a time.",232,Yes,Yes,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",,,,,,,,TRUE
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",4,0.5302,"(From Temps in Tech NELP and TWJ Report)
   * Implement best practices for predictable scheduling45 and apply components of fair workweek laws46 and current California law for scheduling47 across the contract workforce.",299,Yes,Yes,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",,,,,,,,TRUE
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",5,0.5185,"Contract work limits job mobility across the career ladder
Beyond mobility limitations from contract to direct employee, contract workers face strict policies and procedures that limit their future job searches.",196,No - not relevant at all,No - not relevant at all,,,,,,,,This is about contract work.,TRUE
Responsible Contracting Standard,377,3,Security of tenure,Worker rights,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,1,0.5346,* Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a tech (or parent/client) company—or accept employment with a competitor company.,298,Yes,Yes,The policy mentions protections against arbitrary dismissal or guarantees of continued employment.,,,,,,,This also about temp/contract workers.,TRUE
