policy_title,corpus_size,query_id,parameter,category,query,sentence_rank,sentence_score,sentence,sentence_index
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",1,0.5751562714576721,"Closing the Gap:
Public Policy


Improving working conditions and ending wage disparities will require policy and regulatory reform.",352
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",2,0.553863525390625,"They mandate the number of people the agency must hire and the total contract amount, but most don’t set a wage rate within the contract—either for the contract workers or the contracting agency workers whose earnings also come out of the same funding.",101
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",3,0.5156708359718323,"* Require that all vendors and staffing agencies provide detailed assignments to all workers that include pay rate, benefit options and employee contribution, paid time off, HR protocols, complaint procedures, location of assignment, hourly schedule, and agency fees or “markups” for service.",325
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",4,0.4910029172897339,Preliminary data and contract workers’ descriptions of their job functions support assertions that they perform similar work as direct employees—for a fraction of the pay.,140
Responsible Contracting Standard,377,0,Wages,Worker rights,"The policy mentions worker wages, discusses insufficient wages, or prescribes an acceptable wage. It may also address issues like naming tasks that must be compensated, the currency or form of payment, the frequency of payment, etc.",5,0.48903971910476685,"* Provide transparency about the terms and conditions of assignments with written notice from the staffing agency that includes: the length of the assignment, safety requirements, certifications, or personal protective equipment needed for a work assignment, the specific criteria for transitioning to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly charge to the tech (or parent/client) company for their labor.",296
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,1,0.5559484958648682,"* End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and adopt the incentives provided to direct workers, including hiring bonuses for those who successfully recruit contract workers.",334
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,2,0.4873529374599457,"Existing policies demonstrate that tech companies understand the rationale behind internal referral systems, offering several-thousand dollar bonuses for successful referral hires57.",335
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,3,0.4818110167980194,"Although this practice is set up to protect tech companies from liability, it often leads to disempowerment for the worker.",12
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,4,0.4784536063671112,"Where possible, we’ve included specific policy language and reference to laws that undergird many of these recommendations.",286
Responsible Contracting Standard,377,1,Hazard pay,Worker rights,The policy includes references to extra pay/bonus for dangerous or high-risk work.,5,0.47465980052948,"* Provide transparency about the terms and conditions of assignments with written notice from the staffing agency that includes: the length of the assignment, safety requirements, certifications, or personal protective equipment needed for a work assignment, the specific criteria for transitioning to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly charge to the tech (or parent/client) company for their labor.",296
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",1,0.5654918551445007,"To keep it that way, companies create arm’s-length policies for those workers; they also change their personnel practices altogether.",107
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",2,0.5441582202911377,"________________
However, this flexibility more often benefits the employer than the worker.",233
Responsible Contracting Standard,377,2,Right to set working hours/schedule,Worker rights,"The policy mentions flexibility, worker control, or restrictions on employer-set schedules.",3,0.5435395836830139,"Employers tout the flexibility that this affords the workers, as they are
not beholden to the company for more than a few months at a time.",232
