policy,parameter,category,subcategory,text_passage,similarity_score,chunk_index
TechEquity: Responsible Contracting Standard,Wages,Worker rights,Working conditions,"41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform. Throughout the Contract Worker Disparity Project, workers have been consistent about what needs to change:
equal pay for equal work, greater stability, and better working conditions. 42 Contract Worker Disparity Project | Summary Report Policy Solutions
Compensate workers with equal pay for equal work
Workers fulfilling reasonably similar job responsibilities for the same company should earn the same wages,
regardless of classification.",0.5119885206222534,188
TechEquity: Responsible Contracting Standard,Wages,Worker rights,Working conditions,"• Conduct an annual audit of staffing agencies and vendors to ensure that stated commitments and
written policies of the tech company are being implemented and applied to the contract workers
themselves. When staffing agencies do not comply, ensure that there is a clear policy for those violations
that includes dropped contracts, fines, and any other mechanisms that are appropriate to internal policy
violation repercussions. 41 Contract Worker Disparity Project | Summary Report Closing the Gap:
Public Policy
Improving working conditions and ending wage disparities will require policy and regulatory reform.",0.5025166869163513,187
TechEquity: Responsible Contracting Standard,Wages,Worker rights,Working conditions,"Tech companies must ensure that all of their workers are being valued and paid for the
work they do, not just the ones on direct payroll. What tech companies can do
• Require reports from staffing agencies that include pay rate by job type; tech companies are
already required to report this information49 to state agencies and should be evaluating their
contract workforce against their directly-employed workforce to ensure that they are not
enacting unequal pay for equal work. • Create a clear and transparent process—that is provided in writing to contract workers—to
request, approve, and process raises for contract workers.",0.4962008595466614,164
TechEquity: Responsible Contracting Standard,Hazard pay,Worker rights,Working conditions,"Our Responsible Contracting Standard lays policy language and reference to laws that undergird
out the processes and practices that our research many of these recommendations. shows will create the conditions for contract
35 Contract Worker Disparity Project | Summary Report Responsible Contracting Standard
1. Require family-sustaining pay and benefits
When it comes to ensuring quality pay and benefits for contract workers, tech companies have more power
than they realize.",0.4163151979446411,155
TechEquity: Responsible Contracting Standard,Hazard pay,Worker rights,Working conditions,"• End policies that disincentivize contract worker mobility (non-competes, high fees for conversion) and
adopt the incentives provided to direct workers, including hiring bonuses for those who successfully
recruit contract workers. Existing policies demonstrate that tech companies understand the rationale
behind internal referral systems, offering several-thousand dollar bonuses for successful referral hires57. These policies, replicated for teams or managers who successfully hire former contract workers, would
also improve the mobility and stability of tech’s entire workforce.",0.3883649706840515,179
TechEquity: Responsible Contracting Standard,Hazard pay,Worker rights,Working conditions,"• Demonstrate a commitment to employee wellness by ensuring adequate paid time off (PTO) and
parental leave programs43. For workers with part-time or contract time limits, use a formula to calculate
pro-rated PTO that would be equivalent to directly-employed workforce PTO benefit. • Provide transparency about the terms and conditions of assignments with written notice from the
staffing agency that includes: the length of the assignment, safety requirements, certifications, or
personal protective equipment needed for a work assignment, the specific criteria for transitioning
to permanent employment, and the “spread” between the temp worker’s hourly wage and the hourly
charge to the tech (or parent/client) company for their labor.",0.3879987299442291,159
TechEquity: Responsible Contracting Standard,Right to set working hours/schedule,Worker rights,Working conditions,"• Prohibit contract terms that limit temp workers’ opportunities to obtain permanent employment at a
tech (or parent/client) company—or accept employment with a competitor company. (From Temps in
Tech NELP and TWJ Report)
• Implement best practices for predictable scheduling45 and apply components of fair workweek laws46 and
current California law for scheduling47 across the contract workforce. 36 Contract Worker Disparity Project | Summary Report 2.",0.5743292570114136,161
TechEquity: Responsible Contracting Standard,Right to set working hours/schedule,Worker rights,Working conditions,"“Predictive Scheduling” and Scheduling Requirements Under
California Law. California Employment Law Report. Retrieved January 19, 2022, from https://www.",0.5290656089782715,309
TechEquity: Responsible Contracting Standard,Right to set working hours/schedule,Worker rights,Working conditions,"Vox. Retrieved
January 19, 2022, from https://www.vox.com/future-perfect/2019/10/15/20910297/fair-workweek-laws-
unpredictable-scheduling-retail-restaurants
55 Contract Worker Disparity Project | Summary Report 46 Wolfe, J., Jones, J., & Cooper, D. (2018, July 19). 'Fair workweek' laws help more than 1.8 million workers:
Laws promote workplace flexibility and protect against unfair scheduling practices.",0.5171658396720886,306
TechEquity: Responsible Contracting Standard,Security of tenure,Worker rights,Working conditions,"These arrangements allow a company their companies run—both in terms of ongoing
to quickly scale up a specific type of expertise or employment, wage rates, and benefits, but also in
fill an immediate need. In practice, however, these terms of protecting them from sexual harassment,
arrangements are often wide-reaching, long-lasting, racial discrimination, and ensuring healthy overall
and inherently exploitative if they are not working conditions. managed well.",0.5486070513725281,151
