title,Wages,Hazard pay,Right to set working hours/schedule,Security of tenure,"Evaluation metrics, productivity standards and quotas",Monitoring and surveillance,Dismissal/deactivation/suspension,Paths for career advancement,"Channels for workers to appeal decisions, raise complaints, seek clarification","Freedom of association and fair representation (democratically determined working conditions, worker voice mechanisms)",Health and safety risks,Right to refuse work,Mental and physical health insurance,Paid time off,Sick leave,Pension benefits,Gender,Race and ethnicity,Sexual orientation,Disability,Contracts – general,Transparent and easy to understand,Non-compete clauses,Non-disclosure agreements (NDAs),Notice period,Severance pay,Unpaid waiting periods,Work related expenses,Collective bargaining agreement,Training and guidelines for workers and managers,Information on purpose of work,Identifying risks and harms to workers,Human oversight in management,Credentials for skills and experience,Mental health support,Responsibility for upholding/implementing,Accountability in case of harms,Third party audits,Legal enforceability,Enforcing authority,Timeline for implementation
Responsible Contracting Standard,0.24019966,0.2739783,0.2882558,0.43701237,0.26093134,0.27940837,0.25326374,0.37252608,0.15606461,0.28421277,0.1361539,0.25573102,0.29786378,0.17996742,0.25478828,0.327407,0.27426377,0.2420501,0.20763497,0.3009153,0.35693836,0.10378611,0.41144672,0.09527844,0.17799588,0.31336534,0.2743539,0.17846173,0.3120421,0.2738723,0.24343039,0.30248183,0.2017918,0.32099575,0.31628254,0.3269124,0.15282951,0.18268728,0.12707257,0.06361209,0.23582058
Cloudwork (Online Work) Principles,0.4533454,0.3323435,0.40245676,0.3157774,0.31797397,0.24231781,0.37092268,0.15077965,0.19152328,0.26549968,0.072825894,0.37163323,0.22837268,0.3201804,0.27630463,0.24396263,0.20493475,0.12231105,0.062423293,0.28241676,0.4993261,0.20294197,0.37615743,0.10624147,0.20355664,0.34859613,0.4507236,0.35730335,0.2553275,0.24279581,0.2846535,0.1476391,0.233896,0.31001487,0.26809582,0.38563266,0.13121635,0.24312198,0.22659951,0.10017207,0.25992978
Data Enrichment Sourcing Guidelines,0.33428562,0.30407202,0.3257171,0.25488693,0.4101562,0.30723923,0.265074,0.2523182,0.1578007,0.25285077,0.1472898,0.27257285,0.28383183,0.24785858,0.2574314,0.27603385,0.23992006,0.2326969,0.12588042,0.29523894,0.3011466,0.15925238,0.25425395,0.07187219,0.17799562,0.29656926,0.35329416,0.26208398,0.22630945,0.3575641,0.36529106,0.20713738,0.33834636,0.28233743,0.32778957,0.31095293,0.14086838,0.19153015,0.14611623,0.124492,0.2681765
Protocols for Safe Content Moderation,0.17638259,0.28109327,0.1972527,0.31894913,0.1692045,0.26437756,0.27878612,0.22830772,0.2803711,0.20772073,0.35065988,0.3106368,0.35038146,0.13687328,0.22567625,0.19603007,0.17105778,0.21796115,0.17505683,0.2644421,0.22450572,0.13590872,0.31764108,0.13435702,0.18687512,0.23474689,0.19428752,0.15587582,0.24833743,0.2549838,0.23904751,0.35679686,0.22980404,0.24089189,0.4083704,0.34095132,0.2384502,0.2547284,0.1509833,0.16935681,0.11101004
Building Better Workplaces for Data Workers,0.29243752,0.41169813,0.36199522,0.41787463,0.293059,0.31695157,0.35287037,0.29977223,0.26853213,0.30048627,0.3250592,0.40379813,0.31479356,0.26749703,0.3062909,0.30321056,0.27030128,0.25170773,0.221056,0.3347742,0.50073075,0.34188196,0.3791857,0.23306952,0.32596064,0.3708328,0.34343183,0.28023273,0.2712831,0.43060827,0.33491403,0.3170808,0.2840451,0.30811894,0.3872332,0.43739045,0.29834467,0.31690136,0.3160498,0.21554147,0.3624251
Kenya's Digital First Responders: The Hidden Workforce Powering Global Tech,0.15549861,0.13058108,0.105036035,0.16667041,0.23766683,0.28555158,0.20904525,0.23130536,0.11715866,0.20789808,0.2511928,0.20487337,0.19650139,0.039277233,0.10779299,0.112582594,0.20512597,0.24440293,0.14608961,0.19763578,0.15612748,0.054272965,0.14199783,0.07064525,0.048517395,0.12633403,0.20631279,0.10544895,0.1857528,0.23368184,0.21425235,0.24954052,0.2770749,0.2222974,0.17807831,0.22767265,0.1627338,0.10676847,0.07730143,0.13867623,0.06901661
TikTok German workers strike demands,0.28735185,0.22683612,0.19335605,0.34793577,0.23312066,0.23315433,0.30729225,0.2238063,0.25663006,0.22670987,0.103393055,0.26455036,0.18286046,0.1416562,0.17696482,0.23449972,0.17048365,0.1624585,0.06476179,0.15682004,0.285076,0.084452905,0.27814335,0.05442767,0.16928118,0.34818754,0.2555421,0.156089,0.2558176,0.2395861,0.19867012,0.1903762,0.16332205,0.23860206,0.24952863,0.33547834,0.13644862,0.19776265,0.09837332,0.06595455,0.13339794
Google Help workers union contract with Accenture,0.3208722,0.27028704,0.27922168,0.45874327,0.25687182,0.27258226,0.3340315,0.19504407,0.24526635,0.35189873,0.12023096,0.30929446,0.25274843,0.23478258,0.20493019,0.26125824,0.20086215,0.16887513,0.13102049,0.27666178,0.44975862,0.22867475,0.4121165,0.15741491,0.24599253,0.44073147,0.31836978,0.26839483,0.3386474,0.23852125,0.22026649,0.1984669,0.18490088,0.3813197,0.2766178,0.40073764,0.20188296,0.28565356,0.14818889,0.051047873,0.17677599
UNI and Teleperformance have started implementation of the global agreement ,0.15968274,0.24573635,0.16511872,0.25574312,0.1865659,0.30515856,0.23460723,0.22549605,0.23169807,0.35123572,0.22952382,0.23360804,0.25270978,0.20371759,0.17366481,0.21064757,0.210865,0.22242436,0.21480648,0.24953507,0.35229766,0.25018546,0.38040635,0.22142589,0.15430784,0.24220723,0.19173837,0.19366787,0.3284349,0.32180488,0.24021202,0.24015848,0.2368109,0.311404,0.2863628,0.35560036,0.2726021,0.35775042,0.17312668,0.20505193,0.2353249
Turkers demands to Mturk,0.1759345,0.1723335,0.18192261,0.2528274,0.2561095,0.19980438,0.31851152,0.18856019,0.2620448,0.30889243,0.22068317,0.38825712,0.17167084,0.040910147,0.09776306,0.14016438,0.2462942,0.2356165,0.16662353,0.2568627,0.25302455,0.14962879,0.26580003,0.18784848,0.11167426,0.13364545,0.22499306,0.13427912,0.25659344,0.24378437,0.24126095,0.25666636,0.27377808,0.24748252,0.23393933,0.31798336,0.22400874,0.22917096,0.12410515,0.13270403,0.22280793
